"#","Reference","Datasheet","Value","Footprint","Qty","DNP","Exclude from BOM","Exclude from Board"
"1","U2","http://www.ti.com/lit/ds/symlink/tps61040.pdf","TPS61041","Package_TO_SOT_SMD:SOT-23-5","1","","",""
"2","U1","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf","TP4056","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","1","","",""
"3","Rref1","~","1.58K","Resistor_SMD:R_0805_2012Metric","1","","",""
"4","R11","~","270R","Resistor_SMD:R_0805_2012Metric","1","","",""
"5","R10","~","470R","Resistor_SMD:R_0805_2012Metric","1","","",""
"6","R8,R9","~","200k","Resistor_SMD:R_0805_2012Metric","2","","",""
"7","R7","~","1M43","Resistor_SMD:R_0805_2012Metric","1","","",""
"8","R4,R5,R6","~","47k","Resistor_SMD:R_0805_2012Metric","3","","",""
"9","R3","~","1M","Resistor_SMD:R_0805_2012Metric","1","","",""
"10","R2","~","10R","Resistor_SMD:R_0805_2012Metric","1","","",""
"11","R1","~","20k","Resistor_SMD:R_0805_2012Metric","1","","",""
"12","Q6","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657","BC847","Package_TO_SOT_SMD:SOT-23","1","","",""
"13","Q2,Q7","https://www.onsemi.com/pub/Collateral/BC860-D.pdf","BC857","Package_TO_SOT_SMD:SOT-23","2","","",""
"14","Q1","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs","SIA453","Package_TO_SOT_SMD:SOT-23","1","","",""
"15","L1,L2,L3","~","10ÂµH","Inductor_SMD:L_0805_2012Metric","3","","",""
"16","J3","~","DC IN","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm","1","","",""
"17","J2","~","LiPo","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm","1","","",""
"18","J1","~","Out","Connector_Wire:SolderWire-0.5sqmm_1x03_P4.8mm_D0.9mm_OD2.3mm","1","","",""
"19","D4","~","RED","LED_SMD:LED_0805_2012Metric","1","","",""
"20","D3","~","GREEN","LED_SMD:LED_0805_2012Metric","1","","",""
"21","D1,D2","~","D","Diode_SMD:D_0805_2012Metric","2","","",""
"22","C10","~","10pF","Capacitor_SMD:C_0402_1005Metric","1","","",""
"23","C7","~","47uF","Capacitor_Tantalum_SMD:CP_EIA-3528-12_Kemet-T","1","","",""
"24","C5","~","100uF","Capacitor_Tantalum_SMD:CP_EIA-7343-15_Kemet-W","1","","",""
"25","C2,C3,C6,C13","~","10uF","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I","4","","",""
"26","C1,C4,C8,C9,C11,C12,C14","~","100nF","Capacitor_SMD:C_0805_2012Metric","7","","",""
